round,clean_acc,clean_acc_percent,checkpoint_path,elapsed_seconds
484,0.5636,56.36,,6298.030882120132
485,0.5586,55.86,,6311.050480365753
486,0.5901,59.01,,6324.071589946747
487,0.5886,58.86,,6337.11003279686
488,0.5749,57.489999999999995,,6350.1524748802185
489,0.5802,58.02,,6363.195980548859
490,0.5818,58.18,,6376.2357172966
491,0.5941,59.41,,6389.283647298813
492,0.6086,60.86,,6402.326895952225
493,0.5888,58.879999999999995,,6415.377736091614
494,0.6159,61.59,,6428.429308652878
495,0.6174,61.739999999999995,,6441.459004402161
496,0.6107,61.07,,6454.524870872498
497,0.6196,61.96,,6467.55903506279
498,0.6119,61.19,,6480.62206363678
499,0.6162,61.62,,6493.66143655777
500,0.6259,62.59,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed1_r1000_fromscratch/checkpoints/round_0500.pth,6506.723504304886
501,0.6196,61.96,,6519.772039175034
502,0.6217,62.17,,6532.786304473877
503,0.6248,62.480000000000004,,6545.8169231414795
504,0.6255,62.55,,6558.849780082703
505,0.6262,62.62,,6571.883484125137
506,0.6307,63.07000000000001,,6584.9337956905365
507,0.6264,62.63999999999999,,6597.969165802002
508,0.6303,63.029999999999994,,6611.01932311058
509,0.6312,63.12,,6624.073021888733
510,0.6294,62.94,,6637.096914052963
511,0.6335,63.349999999999994,,6650.122132301331
512,0.6353,63.53,,6663.146640777588
513,0.6327,63.27,,6676.161966562271
514,0.6327,63.27,,6689.196516275406
515,0.6355,63.55,,6702.225515842438
516,0.6314,63.13999999999999,,6715.277272224426
517,0.6338,63.38,,6728.268789768219
518,0.6341,63.41,,6741.271743059158
519,0.6365,63.65,,6754.300923585892
520,0.6335,63.349999999999994,,6767.334820508957
521,0.6358,63.580000000000005,,6780.368358373642
522,0.6365,63.65,,6793.392107963562
523,0.6331,63.31,,6806.429093360901
524,0.6364,63.63999999999999,,6819.455374717712
525,0.6398,63.980000000000004,,6832.489775657654
526,0.6369,63.690000000000005,,6845.546759128571
527,0.6382,63.82,,6858.59286737442
528,0.639,63.9,,6871.62114739418
529,0.6385,63.849999999999994,,6884.657737970352
530,0.6405,64.05,,6897.69325709343
531,0.638,63.800000000000004,,6910.730272054672
